"date","close","volume","open","high","low"
"2015/01/23","155.8700","4830128.0000","155.0300","157.6000","154.8900"
"2015/01/22","155.3900","6118450.0000","151.9400","155.7200","151.7600"
"2015/01/21","152.0900","11891690.0000","153.0300","154.5000","151.0700"
"2015/01/20","156.9500","8368458.0000","156.7000","157.3300","154.0300"
"2015/01/16","157.1400","5755866.0000","153.8200","157.6300","153.8200"
"2015/01/15","154.5700","4251472.0000","156.6900","156.9700","154.1600"
"2015/01/14","155.8000","4679570.0000","154.8600","156.4900","153.7400"
"2015/01/13","156.8100","4376654.0000","157.2600","159.9700","155.6800"
"2015/01/12","156.4400","4185540.0000","159.0000","159.2500","155.7600"
"2015/01/09","159.1100","4485123.0000","158.4200","160.3400","157.2500"
"2015/01/08","158.4200","4240432.0000","156.2400","159.0440","155.5500"
"2015/01/07","155.0500","4694891.0000","157.2000","157.2000","154.0300"
"2015/01/06","156.0700","6140885.0000","159.6700","159.9600","155.1700"
"2015/01/05","159.5100","4877949.0000","161.2700","161.2700","159.1900"
"2015/01/02","162.0600","5521275.0000","161.3100","163.3100","161.0000"
"2014/12/31","160.4400","4007568.0000","160.4100","161.5000","160.3800"
"2014/12/30","160.0500","2820875.0000","160.0200","160.8200","159.7900"
"2014/12/29","160.5100","3328597.0000","162.0000","162.3400","159.4500"
"2014/12/26","162.3400","1912278.0000","162.2700","163.0900","162.0100"
"2014/12/24","161.8200","1869977.0000","162.8800","162.9900","161.6100"
"2014/12/23","162.2400","4044120.0000","162.2300","162.9000","161.6100"
"2014/12/22","161.4400","4671176.0000","158.3300","161.9100","158.3300"
"2014/12/19","158.5100","8863708.0000","157.4900","160.4100","157.4900"
"2014/12/18","157.6800","7289467.0000","153.5800","157.6800","153.3000"
"2014/12/17","151.9300","5135799.0000","151.5200","153.3080","151.1100"
"2014/12/16","151.4100","6781567.0000","152.0300","154.8900","150.5000"
"2014/12/15","153.0600","6489279.0000","155.9300","156.7390","152.8400"
"2014/12/12","155.3800","8603486.0000","160.2500","160.5000","155.3300"
"2014/12/11","161.0700","3987625.0000","160.8200","162.9300","160.5200"
"2014/12/10","160.5100","4081495.0000","163.0100","163.3300","160.0300"
"2014/12/09","162.9900","3865355.0000","160.8400","163.0200","160.8000"
"2014/12/08","161.8600","2851383.0000","163.2900","163.2900","161.5400"
"2014/12/05","163.2700","3013455.0000","163.6100","164.5000","162.9100"
"2014/12/04","164.0500","3860288.0000","164.0100","164.5000","163.0100"
"2014/12/03","164.5200","6432090.0000","162.4700","164.5200","162.0000"
"2014/12/02","162.6700","3465647.0000","162.4700","162.7300","161.6400"
"2014/12/01","161.5400","4165523.0000","161.6400","163.3150","161.3500"
"2014/11/28","162.1700","2405512.0000","162.7500","163.3700","161.4400"
"2014/11/26","161.9500","3966022.0000","161.9300","162.1000","161.0100"
"2014/11/25","161.7600","4062338.0000","162.6500","163.5000","161.5600"
"2014/11/24","162.1500","6615896.0000","161.5400","163.8600","161.0600"
"2014/11/21","160.9200","4076193.0000","161.8300","161.9500","160.7500"
"2014/11/20","160.6400","4182186.0000","160.9500","161.5000","159.8000"
"2014/11/19","161.4300","3801179.0000","162.0500","162.1000","160.9600"
"2014/11/18","161.8900","5410056.0000","164.7300","164.7500","161.8900"
"2014/11/17","164.1600","4795042.0000","164.1600","164.9700","163.7200"
"2014/11/14","164.1600","4974605.0000","162.1000","164.4900","161.6900"
"2014/11/13","162.7900","3239343.0000","162.0000","162.8000","161.8000"
"2014/11/12","161.9200","3377542.0000","162.2800","163.0000","161.7600"
"2014/11/11","163.3000","3534400.0000","163.7000","163.9000","162.6000"
"2014/11/10","163.4900","4956409.0000","161.9000","164.4700","161.6100"
"2014/11/07","162.0700","3491874.0000","161.4200","162.2069","160.8500"
"2014/11/06","161.4600","4067487.0000","161.2800","161.5300","160.0500"
"2014/11/05","161.8200","4102438.0000","163.1300","163.5400","161.5600"
"2014/11/04","162.6500","4241264.0000","164.3400","164.3600","162.2400"
"2014/11/03","164.3600","4683808.0000","164.2500","164.5400","163.3750"
