"date","close","volume","open","high","low"
"2015/08/13","1.7900","7838435.0000","1.9000","1.9100","1.7900"
"2015/08/12","1.9000","8524768.0000","1.8800","1.9300","1.8400"
"2015/08/11","1.9000","7470926.0000","1.9100","1.9300","1.8800"
"2015/08/10","1.9300","29750000.0000","1.9200","1.9800","1.8200"
"2015/08/07","2.0900","7666911.0000","2.1000","2.1400","2.0600"
"2015/08/06","2.1100","9475520.0000","2.1500","2.1700","2.1000"
"2015/08/05","2.1600","13235970.0000","2.1100","2.2100","2.1000"
"2015/08/04","2.1300","14281870.0000","2.1800","2.1800","2.0500"
"2015/08/03","2.2000","25929210.0000","1.9300","2.2000","1.9000"
"2015/07/31","1.9300","7732694.0000","1.9400","1.9850","1.9200"
"2015/07/30","1.9300","15837440.0000","1.9400","1.9900","1.8800"
"2015/07/29","1.9600","25426480.0000","1.7700","1.9900","1.7600"
"2015/07/28","1.7700","14587100.0000","1.6200","1.7700","1.6200"
"2015/07/27","1.6200","11907530.0000","1.6700","1.7000","1.6100"
"2015/07/24","1.6700","16042430.0000","1.7600","1.7700","1.6500"
"2015/07/23","1.7600","10612790.0000","1.8000","1.8100","1.7500"
"2015/07/22","1.7900","15993970.0000","1.8000","1.8100","1.7600"
"2015/07/21","1.8000","14982920.0000","1.8200","1.8300","1.7800"
"2015/07/20","1.8000","12126610.0000","1.8200","1.8400","1.7700"
"2015/07/17","1.7900","28115700.0000","1.8700","1.9000","1.7400"
"2015/07/16","1.8700","20489440.0000","1.9700","2.0000","1.8700"
"2015/07/15","1.9600","13509620.0000","2.0700","2.0900","1.9500"
"2015/07/14","2.0500","15809520.0000","2.0300","2.0600","1.9700"
"2015/07/13","1.9600","9049715.0000","1.9700","1.9900","1.9500"
"2015/07/10","1.9600","17493980.0000","2.0000","2.0300","1.9500"
"2015/07/09","1.9800","23364680.0000","2.0400","2.0600","1.9300"
"2015/07/08","2.0100","15111470.0000","2.0700","2.0700","2.0100"
"2015/07/07","2.0900","46356660.0000","2.0400","2.1400","2.0200"
"2015/07/06","2.4700","19882970.0000","2.4600","2.5400","2.4400"
"2015/07/02","2.5300","31176340.0000","2.4300","2.6300","2.3900"
"2015/07/01","2.4200","19358450.0000","2.4700","2.4800","2.3600"
"2015/06/30","2.4000","19368380.0000","2.4300","2.4300","2.3500"
"2015/06/29","2.3400","22845720.0000","2.4100","2.4200","2.3100"
"2015/06/26","2.4700","97045670.0000","2.5400","2.5500","2.3700"
"2015/06/25","2.5800","18345790.0000","2.6200","2.6600","2.5700"
"2015/06/24","2.6200","17512840.0000","2.6000","2.6600","2.5699"
"2015/06/23","2.6100","17900880.0000","2.6200","2.6400","2.5500"
"2015/06/22","2.6200","19399200.0000","2.6100","2.6700","2.5800"
"2015/06/19","2.5800","25471000.0000","2.5300","2.5900","2.4600"
"2015/06/18","2.5200","25393210.0000","2.5000","2.5900","2.4800"
"2015/06/17","2.4700","27478700.0000","2.3700","2.5400","2.3500"
"2015/06/16","2.3500","9781194.0000","2.3200","2.3700","2.3200"
"2015/06/15","2.3200","8621427.0000","2.3200","2.3500","2.2900"
"2015/06/12","2.3100","4553446.0000","2.3100","2.3300","2.3000"
"2015/06/11","2.3200","7670984.0000","2.3400","2.3500","2.3100"
"2015/06/10","2.3200","8158497.0000","2.3100","2.3500","2.3000"
"2015/06/09","2.2900","12279660.0000","2.3500","2.3600","2.2800"
"2015/06/08","2.3100","6208936.0000","2.3100","2.3300","2.2900"
"2015/06/05","2.3300","7349656.0000","2.3100","2.3400","2.2900"
